Source Item Code,Source / product name,FnB inventory identities in group,Proposed canonical inventoryItemId,Canonical product name,Canonical selection reason,Superseded identities,May source-row presence,June source-row presence,Physical locations represented,Physical location names,Count lines to repoint,External-mapping coverage,Material pack/UOM compatibility,Expected valuation delta
24000,herbs basil,2,658bd055-af0d-4cd6-a2c0-254bad920584,Herbs - Basil,decided on downstream references (10 vs 7),1,Yes,No,2,main kitchen | produce walk in,1,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
24156,kona big wave bottled,6,358c2c86-1303-4273-bc55-7e431554dbf5,Kona - Big Wave - Bottled,decided on downstream references (23 vs 4),5,Yes,Yes,6,beer cage | beverage carts | halfway house | liquor cage | member lounge | pool cafe,0,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=2,$0.00
2434371,italian sausage bulk,3,032d0ae4-3dc2-487f-9f16-bfd433172f12,Italian Sausage Bulk,decided on existing historical use (2 vs 0),2,Yes,No,3,bay window | main freezer | main walk in,1,2 mapping record(s) across 1 of 3 identity/identities; sibling records=2,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=2,$0.00
245842,sauza tres gen plata,2,38c56415-7624-4074-9a38-8f0a0610a6c6,Sauza - Tres Gen Plata,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | mens locker room,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
24601,jameson irish whiskey,3,8c8ae047-ccb0-4b46-88f0-2115b10042d2,Jameson Irish Whiskey,decided on downstream references (16 vs 5),2,Yes,Yes,3,grill room | liquor cage | pool cafe,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lt; source case qty=1,$0.00
24672,johnnie walker black,6,adcecfc5-7ed7-49ee-ba9f-46000e3afe02,Johnnie Walker - Black,decided on downstream references (26 vs 5),5,Yes,Yes,6,bay window bar | grill room | halfway house | liquor cage | member lounge | mens locker room,4,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lt; source case qty=12,$0.00
249498,provenance napa cab 14 nl,2,c9e0a29f-536a-4530-ac20-87ed6f0c1088,PROVENANCE NAPA CAB + 14 NL,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
2523833,spinach,2,cea20156-0ee7-4e1c-a828-b3214da6fcd9,Spinach,decided on downstream references (12 vs 5),1,Yes,Yes,2,bay window | main freezer,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=12,$0.00
256666,stoller fmly est p noir rose scrw cp,5,16e0184b-4c21-4bd1-8210-8f9dbd6d1044,STOLLER FMLY EST P NOIR ROSE SCRW CP,decided on downstream references (20 vs 5),4,Yes,Yes,5,bay window bar | grill room | liquor cage | member lounge | pool cafe,1,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
2581128,flour tortillas 5,4,4c3637f8-867f-461c-a8e7-68d831faf6df,"Flour Tortillas 5""",decided on downstream references (18 vs 5),3,Yes,Yes,4,bay window | cafe | dry storeroom | pool cafe,3,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
26071,tea fp ccc,2,759187ac-9160-422a-82f4-37877c6e53f5,TEA FP CCC,decided on downstream references (12 vs 4),1,Yes,Yes,2,dry storeroom | main kitchen,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
26074-x,hoagie roll,3,238311ba-5588-4bda-a39f-ba2f8e8d35c0,Hoagie Roll,decided on downstream references (13 vs 4),2,Yes,Yes,3,bread reach in | cafe | main freezer,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
2610,dei vino nobile di montepulciano 2020 93v,2,16ff2bfd-9d5f-49f7-8d05-46933e9fe284,DEI VINO NOBILE DI MONTEPULCIANO 2020 (93V),decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
2616276,hershey bar,5,56437583-152d-4276-a46d-64e1ae146b1b,Hershey bar,decided on downstream references (22 vs 5),4,Yes,Yes,5,beverage carts | cafe | dry storeroom | halfway house | pool cafe,3,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=2,$0.00
2616284,kit kat,5,fa2b3c45-7c59-4ede-82a8-223bffa550e0,KIT KAT,decided on downstream references (22 vs 5),4,Yes,Yes,5,beverage carts | cafe | dry storeroom | halfway house | pool cafe,3,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=2,$0.00
2616294,reese s peanut butter cups,5,94cbdbfd-dd6d-4964-87f5-85ee5b7b7544,Reese's Peanut Butter Cups,decided on downstream references (22 vs 5),4,Yes,Yes,5,beverage carts | cafe | dry storeroom | halfway house | pool cafe,3,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=2,$0.00
2650651,lemonade fresh,7,d40d14d3-9eda-4eb1-9b84-58fe5e752c8d,Lemonade fresh,decided on downstream references (29 vs 5),6,Yes,Yes,7,bay window | beverage carts | cafe | halfway house | member lounge | mens locker room | pool cafe,3,1 mapping record(s) across 1 of 7 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=12,$0.00
2677,willajory willamette valley pinot noir 2023,3,93fb04c9-0252-4186-aae6-1810d0889c0a,WILLAJORY WILLAMETTE VALLEY PINOT NOIR 2023,decided on downstream references (16 vs 5),2,Yes,Yes,3,bay window bar | liquor cage | member lounge,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
268048,mango frozen,2,524c378b-a5cb-4b01-922e-bc86ee38d17e,Mango - Frozen,decided on downstream references (12 vs 4),1,Yes,Yes,2,cafe | main freezer,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=2,$0.00
2703,camille de labrie 2020 6pk 91 93js,4,34569e9c-3ce3-45a1-8c65-a6b9a65c282a,CAMILLE DE LABRIE 2020 (6PK) 91-93JS,decided on downstream references (19 vs 5),3,Yes,Yes,4,bay window bar | liquor cage | member lounge | wine cellar,2,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
27032,tea twinings english brkfst 6,2,38700513-5fb5-4443-a7c4-512acca496b8,TEA TWININGS ENGLISH BRKFST 6/,decided on downstream references (12 vs 5),1,Yes,Yes,2,dry storeroom | mens locker room,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=case; source case qty=1,$0.00
27150,onions yellow,2,18452813-1dc0-455a-b158-5330c83e2d8a,Onions - Yellow,decided on downstream references (10 vs 8),1,Yes,No,2,cafe | produce walk in,2,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
27208,corona can,4,66a1320f-d397-4ef7-89c7-692783590a19,Corona - Can,decided on downstream references (19 vs 5),3,Yes,Yes,4,beer cage | beverage carts | halfway house | pool cafe,3,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=2,$0.00
273584,taylor fladgate tny,3,2a85e9b5-a47e-4a1f-8e19-1a52d9668ee7,TAYLOR FLADGATE TNY,decided on downstream references (13 vs 4),2,Yes,Yes,3,bay window bar | liquor cage | member lounge,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
273594,taylor fladgate tny 30yr,2,b13aba61-01b4-4ee8-8009-896c54ecc906,TAYLOR FLADGATE TNY 30YR,decided on downstream references (12 vs 5),1,Yes,Yes,2,liquor cage | member lounge,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
273834,fonseca tny 10yr,2,6a33b1af-7ffb-4ba3-a703-1d022b8150ee,FONSECA TNY 10YR,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | member lounge,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
273844,fonseca tny 20yr,2,ce8a1e91-f78d-44a9-8e14-40898bcefbfe,FONSECA TNY 20YR,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | member lounge,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
274004,jadot beauj vlb,2,77085585-aca9-4230-826f-98f779e55adf,JADOT BEAUJ VLB,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
275064,pighin p grigio,5,c81647c3-d17e-4cf8-8d55-07a969734db5,PIGHIN P GRIGIO,decided on downstream references (19 vs 4),4,Yes,Yes,5,bay window bar | grill room | liquor cage | member lounge | pool cafe,0,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
2754218,guacamole,2,572adae1-6cea-4a38-952b-7c288f6b1f33,Guacamole,decided on downstream references (13 vs 5),1,Yes,Yes,2,cafe | main freezer,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=12,$0.00
2763,vineyard 36 black aces cabernet sauvignon napa valley 2022 91jd,2,83ec6a35-6676-443d-bb02-28cf5c0a8b15,VINEYARD 36 BLACK ACES CABERNET SAUVIGNON NAPA VALLEY 2022 (91JD),decided on downstream references (13 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
28-10010,beef cube steak,3,1cb33ad6-7408-45f1-aa70-9fafd098c4c1,Beef - Cube Steak,decided on downstream references (13 vs 4),2,Yes,Yes,3,main freezer | main kitchen | main walk in,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
28-23001,beef short ribs boneless,3,3943b91f-13e3-4627-9f01-b36bf5627385,Beef - Short Ribs - Boneless,decided on downstream references (13 vs 4),2,Yes,Yes,3,bay window | main freezer | produce walk in,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
28008,garlic peeled,2,ac8e16f1-e561-4d09-885e-5e4274cf372f,Garlic - Peeled,decided on downstream references (10 vs 8),1,Yes,No,2,bay window | produce walk in,2,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
2801,cain five 2021 6pk 97 decanter,2,94a8623e-6f5a-4df9-be17-ffc25f6bffb5,CAIN FIVE 2021 (6PK) 97 DECANTER,decided on downstream references (13 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
28010,garlic peeled,2,ac8e16f1-e561-4d09-885e-5e4274cf372f,Garlic - Peeled,decided on downstream references (10 vs 8),1,No,Yes,2,bay window | produce walk in,2,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
2808020,oasis lemonade,2,faeca7f7-4ea6-4adc-8335-fdd20fa137d1,OASIS LEMONADE,decided on downstream references (11 vs 5),1,Yes,Yes,2,cafe | pool cafe,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=qt; source case qty=12,$0.00
2825990,peach puree,2,102438cf-fb10-47ac-b8af-f0d46522ef38,Peach puree,decided on downstream references (11 vs 5),1,Yes,Yes,2,main freezer | main walk in,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=kg; source case qty=2,$0.00
282899,masi campofiorin red,2,52298d14-0a54-47e0-93e4-62a35a753827,MASI CAMPOFIORIN RED,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
28728,bacardi superior,5,f80c9240-0c03-4783-b656-1090ddc21d1a,Bacardi - Superior,decided on downstream references (22 vs 5),4,Yes,Yes,5,bay window bar | liquor cage | member lounge | mens locker room | pool cafe,4,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lt; source case qty=12,$0.00
28732,bacardi light,2,ba8976e2-7ef4-4bf7-b525-49955dd8f25e,Bacardi - Light,decided on downstream references (10 vs 4),1,Yes,Yes,2,grill room | liquor cage,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
288436,honoro vera garnacha,2,10924906-bd3d-4730-b74e-e2247d313cbc,HONORO VERA GARNACHA,decided on downstream references (13 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
290887,ketel one orange,6,6e372fe8-b4e9-4c01-be10-88fede6c80ac,Ketel One - Orange,decided on downstream references (27 vs 5),5,Yes,Yes,6,bay window bar | grill room | liquor cage | member lounge | mens locker room | pool cafe,4,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lt; source case qty=12,$0.00
29100,potato idaho russet,2,9b1cf0c7-548d-41d6-a708-5486aafa929b,Potato - Idaho Russet,decided on downstream references (12 vs 5),1,Yes,Yes,2,main kitchen | produce walk in,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
291268,pessimist red blnd 2203928,5,ae09d6ad-7035-4eb6-8abb-65ec89985696,PESSIMIST RED BLND - 2203928,decided on downstream references (19 vs 4),4,Yes,Yes,5,bay window bar | grill room | liquor cage | member lounge | mens locker room,0,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
292045,amulet cab sauv 6pk 14,2,28624760-aaca-4e10-99a4-4b2605a81f48,AMULET CAB SAUV 6PK + 14,decided on downstream references (13 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
2936,garlic powder,2,0da04d39-9d5d-486a-a967-313ef68dc48b,Garlic Powder,decided on downstream references (12 vs 5),1,Yes,Yes,2,dry storeroom | main kitchen,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=1,$0.00
294436,cointreau,6,d8adb13b-aa60-4ab7-bf81-9e76bec23e21,Cointreau,decided on downstream references (27 vs 5),5,Yes,Yes,6,bay window bar | grill room | liquor cage | member lounge | mens locker room | pool cafe,4,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lt; source case qty=6,$0.00
294498,maker s mark 46,3,5848bff0-a32d-4be1-971d-64030a9ba0d7,Maker's Mark - 46,decided on downstream references (17 vs 5),2,Yes,Yes,4,bay window bar | liquor cage | mens locker room | pool cafe,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
294864,the macallan 12 year,5,960735f1-9762-402a-8a22-0f35506395a6,The Macallan - 12 Year,decided on downstream references (21 vs 5),4,Yes,Yes,5,bay window bar | grill room | liquor cage | member lounge | mens locker room,3,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
2996445,sauce chili,3,de1e4f72-74fe-40c9-9b9b-c25b0833ecde,Sauce - Chili,decided on downstream references (17 vs 5),2,Yes,Yes,3,bay window | dry storeroom | main walk in,2,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00
30001,cappuccino creamer busy bean,4,628fef76-7685-4f6a-aa74-af9d53ba4cd8,CAPPUCCINO CREAMER Busy bean,decided on downstream references (18 vs 5),3,Yes,Yes,4,bay window | dry storeroom | main kitchen | mens locker room,3,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=case; source case qty=1,$0.00
30004,french vanilla cappuccino powder,7,d1d7e9fa-9466-41fd-b6af-57026a0a7e9e,FRENCH VANILLA CAPPUCCINO POWDER,decided on downstream references (27 vs 5),6,Yes,Yes,7,bay window | bay window bar | dry storeroom | grill room | halfway house | main kitchen | member lounge,2,1 mapping record(s) across 1 of 7 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=case; source case qty=1,$0.00
302471,clif bars,2,7fa7077e-e560-4b0c-9e75-aad45c3ebdc5,Clif Bars,decided on downstream references (12 vs 4),1,Yes,Yes,2,beverage carts | halfway house,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=12,$0.00
30309089,nicosia ldm etna rosso doc,3,d6344ae3-1f1f-4b9e-898a-72beeac95054,NICOSIA LDM ETNA ROSSO DOC,decided on downstream references (13 vs 4),2,Yes,Yes,3,bay window bar | liquor cage | member lounge,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30309354,dom de la tour du bon bandol rouge 21,2,f4899066-2882-4b3c-9d07-6d61259a4c6b,DOM DE LA TOUR DU BON BANDOL ROUGE 21,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30311726,telegramme chateauneuf du pape rouge,2,63a38c60-e567-40ca-86fa-6ab4f0624e12,TELEGRAMME CHATEAUNEUF DU PAPE ROUGE,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30312423,paul hobbs cabernet sauvignon crossbarn napa valle,2,06a7fffb-1e2a-4438-affb-837dad0795bb,PAUL HOBBS CABERNET SAUVIGNON CROSSBARN NAPA VALLE,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
3031438,butter unsalted,3,c45824d1-c7bb-4c24-bb61-a1cca3ff4f61,Butter - Unsalted,decided on downstream references (17 vs 5),2,Yes,Yes,3,bay window | cafe | main walk in,2,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=36,$0.00
30318021,cosme st chateau cotes du rhone les deux albions,2,fd532bb0-835e-49db-975a-e2e0ed4d1d2f,COSME ST CHATEAU COTES DU RHONE LES DEUX ALBIONS,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30318366,vietti dolceetto dalba tre vigne,2,332ba3ea-ce10-4c91-a287-efc6fdb584fe,VIETTI DOLCEETTO DALBA TRE VIGNE,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30318577,dunn cab sauv howell mt 13 14 15 vv 3pk,2,e8bbbac0-2728-4088-9c62-f064ecefc4cb,DUNN CAB SAUV HOWELL MT 13/14/15 VV 3PK,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lt; source case qty=3,$0.00
30319455,xavier monnot beaune 1er cru les cent vignes,2,c257a184-b833-41f4-bfcc-07c4e1345439,XAVIER MONNOT BEAUNE 1ER CRU LES CENT VIGNES,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30319744,laboure roi pommard rouge,2,932f3016-ee70-4ece-bf61-f59d23c75aea,LABOURE ROI POMMARD ROUGE,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30320082,paul hobbs pinot noir russian river,2,687abee6-b06e-4292-a85b-eac6d5edc7bd,PAUL HOBBS PINOT NOIR RUSSIAN RIVER,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30320106,paul buisse touraine,2,3bd06ffb-01ae-47d5-91d2-1aba6778e12b,PAUL BUISSE TOURAINE,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | member lounge,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30320498,nicosia monte gorna etna rosso doc organic,2,cf0e462a-bb99-4b82-a408-c4392a5b7b47,NICOSIA MONTE GORNA ETNA ROSSO DOC ORGANIC,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30329291,faustino v reserva rioja doc,2,192ed32f-3192-4345-9779-e78c59af7f59,FAUSTINO V RESERVA RIOJA DOC,decided on downstream references (13 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30329446,chappellet pritchard hill cabernet,2,03f5be3a-a45c-472f-b1a3-81aa1e9c8d66,CHAPPELLET PRITCHARD HILL CABERNET,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30332100,dom drouhin oregon roserock pinot noir,2,9b7272fd-93cb-4da1-b2be-cb3be43dda25,DOM DROUHIN OREGON ROSEROCK PINOT NOIR,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30332569,chanzy rully en rosey rouge,2,5533a8e0-daaf-4509-8f3f-7c6061cbcd76,CHANZY RULLY EN ROSEY ROUGE,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30333357,chappellet cabernet sauvignon 6 cs,2,9874c5e4-d080-4c6b-b467-dd189a4d3f6a,CHAPPELLET CABERNET SAUVIGNON 6 CS,decided on downstream references (10 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30334388,aalto,2,6cc50244-23e5-46a4-9db6-8a3b22f359a2,AALTO,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30334664,cosme st chateau cote rotie,2,06f0e4d8-0445-4649-9c3c-affc58f33c22,COSME ST CHATEAU COTE ROTIE,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30335785,paul buisse touraine 3200806,3,dc9e6c53-4078-4d3d-8c0a-b41faf2983df,PAUL BUISSE TOURAINE - 3200806,decided on downstream references (16 vs 5),2,Yes,Yes,3,bay window bar | liquor cage | pool cafe,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
30337049,inglenook rubicon,2,da32455a-49c6-4af8-852e-b60312825faf,INGLENOOK RUBICON,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
